source,title,company,location,job_type,salary,job_url,posted_date,scraped_at,description_snippet,search_keyword
naukri,Data Entry Operator,Ad City Mart,Noida,,,https://www.naukri.com/job-listings-data-entry-operator-ad-city-mart-noida-0-to-2-years-120620500870,3+ weeks ago,2026-06-11T23:09:43+00:00,"Data Mining, Entering data. Knowledge of MS Word, MS Excel and good typing skill...",Data
naukri,Director Data Engineering,Embarkgcc Services,Hyderabad,,,https://www.naukri.com/job-listings-director-data-engineering-embarkgcc-services-hyderabad-10-to-14-years-110626009877,1 day ago,2026-06-11T23:09:43+00:00,"Troubleshoot issues related to ADF pipeline failures, data quality problems, and query ...",Data
naukri,Director Data Engineering,Fortrea Development India,"Mumbai, Pune, Bengaluru",,,https://www.naukri.com/job-listings-director-data-engineering-fortrea-mumbai-pune-bengaluru-15-to-20-years-230426502978,3+ weeks ago,2026-06-11T23:09:43+00:00,"Bachelor (or Masters) degree in Computer Science, Information Technology, Engineering, ...",Data
naukri,Data Entry Operator,G4S,Bengaluru,,,https://www.naukri.com/job-listings-data-entry-operator-g4s-corporate-services-india-pvt-ltd-bengaluru-0-to-3-years-150725500878,3+ weeks ago,2026-06-11T23:09:43+00:00,"Country: India Work Location: Any Work Location: Bangalore Urban, Karnataka, India Open...",Data
naukri,"Data Steward, Analyst/Associate",Goldman Sachs,Bengaluru,,,https://www.naukri.com/job-listings-data-steward-analyst-associate-goldman-sachs-bengaluru-0-to-3-years-200426503595,3+ weeks ago,2026-06-11T23:09:43+00:00,"SKILLS & EXPERIENCE WE ARE LOOKING FOR Relevant experience in data management, sales re...",Data
naukri,Cloud Data Engineer,Google,Gurugram,,,https://www.naukri.com/job-listings-cloud-data-engineer-google-india-private-limited-gurugram-0-to-0-years-090725503304,3+ weeks ago,2026-06-11T23:09:43+00:00,"Minimum qualifications: Bachelor s degree in Engineering, Computer Science, a related...",Data
naukri,Director - Data Engineering and AI Platforms,Infosys,Bengaluru,,,https://www.naukri.com/job-listings-director-data-engineering-and-ai-platforms-infosys-limited-bengaluru-15-to-20-years-290526905287,1 week ago,2026-06-11T23:09:43+00:00,Educational Requirements Bachelor of Engineering Service Line Strategic Technology Gr...,Data
naukri,Director - Data Engineering and AI Platforms,Infosys,Bengaluru,,,https://www.naukri.com/job-listings-director-data-engineering-and-ai-platforms-infosys-limited-bengaluru-15-to-20-years-260526926617,2 weeks ago,2026-06-11T23:09:43+00:00,Bachelor of Engineering. Service Line Strategic Technology Group. Lead the engineering ...,Data
naukri,DATA ENTRY OPERATORS,MD India Health Insurance TPA Pvt Ltd,New Delhi,,,https://www.naukri.com/job-listings-data-entry-operators-mdindia-health-insurance-tpa-pvt-ltd-new-delhi-0-to-2-years-191224502002,3+ weeks ago,2026-06-11T23:09:43+00:00,MDINDIA HEALTH INSURANCE TPA PVT LTD is looking for DATA ENTRY OPERATORS to join our dy...,Data
naukri,"Director, Data Engineering",Mastercard,Pune,,,https://www.naukri.com/job-listings-director-data-engineering-mastercard-india-services-private-limited-pune-12-to-17-years-100626936655,1 day ago,2026-06-11T23:09:43+00:00,"Bachelors degree in computer science, Engineering, or related field (or equivalent expe...",Data
naukri,Data Scientist (Software Delivery Analyst - Optimus AI),Mckinsey & Company,"Hybrid - Gurugram, Bengaluru",,,https://www.naukri.com/job-listings-data-scientist-software-delivery-analyst-optimus-ai-mckinsey-company-gurugram-bengaluru-1-to-5-years-090226029210,2 weeks ago,2026-06-11T23:09:43+00:00,"Your ImpactCollaborating in a dynamic, multi-disciplinary team of 3-6 experts, you will...",Data
naukri,"Director, Engineering, Data Collection Tech",Morningstar,Navi Mumbai,,,https://www.naukri.com/job-listings-director-engineering-data-collection-tech-morningstar-navi-mumbai-14-to-20-years-110626023077,1 day ago,2026-06-11T23:09:43+00:00,"Bachelor s or Master s degree in Computer Science, Software Engineering, or a related t...",Data
naukri,Data Scientist,PayU,Gurugram,,,https://www.naukri.com/job-listings-data-scientist-payu-india-gurugram-0-to-3-years-300326502718,3+ weeks ago,2026-06-11T23:09:43+00:00,Location : Bangalore / Mumbai / Gurgoan Job Description We are looking for a data ...,Data
naukri,"Director, Principal Engineer, AI and Data Engineering",Pfizer,Mumbai,,,https://www.naukri.com/job-listings-director-principal-engineer-ai-and-data-engineering-pfizer-mumbai-10-to-15-years-290126508838,3+ weeks ago,2026-06-11T23:09:43+00:00,ROLE SUMMARY Do you want to make a global impact on patient healthDo you thrive i...,Data
naukri,Senior Data Processing Executive,Research Partnership,Gurugram,,,https://www.naukri.com/job-listings-senior-data-processing-executive-research-partnership-gurugram-2-to-7-years-290526505891,1 week ago,2026-06-11T23:09:43+00:00,"Basic to intermediate proficiency in data tabulation software (preferably Q, but Quantu...",Data
naukri,Data Entry Operator,SNT Infotech,Ghaziabad,,,https://www.naukri.com/job-listings-data-entry-operator-snt-infotech-private-limited-ghaziabad-0-to-1-years-251125506242,3+ weeks ago,2026-06-11T23:09:43+00:00,"Enter, update, and maintain accurate data in company databases and spreadsheets while v...",Data
naukri,"Director, AI and Data Solution Engineering",Salesforce,Gurugram,,,https://www.naukri.com/job-listings-director-ai-and-data-solution-engineering-salesforce-gurugram-12-to-17-years-200226504312,3+ weeks ago,2026-06-11T23:09:43+00:00,. Technical Depth: Proven expertise in AI frameworks and Data Cloud platforms (Salesfor...,Data
naukri,"Director, AI and Data Solution Engineering",Salesforce,Bengaluru,,,https://www.naukri.com/job-listings-director-ai-and-data-solution-engineering-salesforce-bengaluru-12-to-17-years-200226504313,3+ weeks ago,2026-06-11T23:09:43+00:00,. Technical Depth: Proven expertise in AI frameworks and Data Cloud platforms (Salesfor...,Data
naukri,"Director, Data Engineering",Tech SMCSquared GCC,Hybrid - Hyderabad,,,https://www.naukri.com/job-listings-director-data-engineering-tech-smcsquared-gcc-hyderabad-12-to-20-years-010626003309,1 week ago,2026-06-11T23:09:43+00:00,"Drive agile execution, project planning, and resource alignment for maximum efficiency....",Data
