source,title,company,location,job_type,salary,job_url,posted_date,scraped_at,description_snippet,search_keyword
naukri,Senior Software Developer - Java Application Developer,CGI,Chennai,,9-12 Lacs PA,https://www.naukri.com/job-listings-senior-software-developer-java-application-developer-cgi-chennai-4-to-7-years-100626018419,1 day ago,2026-06-11T22:58:29+00:00,"Category: Shift: GeneralMust-Have Skills: Core Java / J2EE, Spring Boot, SQL, Jira, Git...",Java
naukri,Senior Software Engineer - Java Application Developer - June Joiners,CGI,Chennai,,8-12 Lacs PA,https://www.naukri.com/job-listings-senior-software-engineer-java-application-developer-june-joiners-cgi-chennai-4-to-7-years-040626011867,1 week ago,2026-06-11T22:58:29+00:00,"Category: Shift: GeneralMust-Have Skills: Core Java / J2EE, Spring Boot, SQL, Jira, Git...",Java
naukri,Software Developer Python / Java (Full Stack),Cabal Technologies,Ernakulam,,,https://www.naukri.com/job-listings-software-developer-python-java-full-stack-cabal-technologies-ernakulam-0-to-3-years-050626500879,6 days ago,2026-06-11T22:58:29+00:00,"Experience. 0 to 3 Years. Key Skills. GIT, Django, JSON, Node.js, Bootstrap, CSS, JavaS...",Java
naukri,Java Full Stack Developer,Capgemini,"Hybrid - Hyderabad, Pune, Chennai",,,https://www.naukri.com/job-listings-java-full-stack-developer-capgemini-hyderabad-pune-chennai-6-to-9-years-080725022881,2 days ago,2026-06-11T22:58:29+00:00,Job Title: Java Full Stack Developer (Java + Angular)Experience: 6-9 Years Location: Pu...,Java
naukri,"Java Full Stack Developer (Java, React)",Capgemini,Hybrid - Pune,,,https://www.naukri.com/job-listings-java-full-stack-developer-java-react-capgemini-pune-5-to-10-years-091225021099,1 week ago,2026-06-11T22:58:29+00:00,"Skills Required: React and Java must have Job Title: Java Full Stack Developer (Java, R...",Java
naukri,Java Full Stack Developer with Angular,Cognizant,Chennai,,,https://www.naukri.com/job-listings-java-full-stack-developer-with-angular-cognizant-chennai-5-to-10-years-040226007597,1 day ago,2026-06-11T22:58:29+00:00,"Roles and ResponsibilitiesDesign, develop, test, deploy and maintain full stack applica...",Java
naukri,Position Fresh Graduate Trainee (Developer Java/React/Python),Corepeelers,Noida,,,https://www.naukri.com/job-listings-position-fresh-graduate-trainee-developer-java-react-python-corepeelers-noida-0-to-1-years-100626505634,1 day ago,2026-06-11T22:58:29+00:00,Collaborate with cross-functional teams to design and develop high-quality software ap...,Java
naukri,Java Full Stack Developer,Genpact,"Hybrid - Hyderabad, Bengaluru, Delhi / NCR",,,https://www.naukri.com/job-listings-java-full-stack-developer-genpact-hyderabad-bengaluru-delhi-ncr-7-to-12-years-100626016899,1 day ago,2026-06-11T22:58:29+00:00,Bachelors degree in computer science or related fieldExperience: 7 to 12years. Notice P...,Java
naukri,Java + Springboot Senior Developer,Infosys,Pune,,,https://www.naukri.com/job-listings-java-springboot-senior-developer-infosys-limited-pune-5-to-9-years-250526934280,1 day ago,2026-06-11T22:58:29+00:00,"Bachelor of Engineering, Bachelor Of CompGood understanding of SDLC and agile methodolo...",Java
naukri,Java Developer,Infosys,Gurugram,,,https://www.naukri.com/job-listings-java-developer-infosys-gurugram-3-to-8-years-200326920121,1 day ago,2026-06-11T22:58:29+00:00,Preferred Skills: Technology->Java->Java - ALL,Java
naukri,Java Full Stack Developer,Infosys,Hybrid - Thiruvananthapuram,,,https://www.naukri.com/job-listings-java-full-stack-developer-infosys-thiruvananthapuram-8-to-13-years-200326919644,1 day ago,2026-06-11T22:58:29+00:00,"and build POCs. You will create requirement specifications from the business needs, def...",Java
naukri,Java Full Stack Developer,Infosys,Hybrid - Chennai,,,https://www.naukri.com/job-listings-java-full-stack-developer-infosys-chennai-10-to-20-years-200326919732,1 day ago,2026-06-11T22:58:29+00:00,"and build POCs. You will create requirement specifications from the business needs, def...",Java
naukri,Java Full Stack Developer,Infosys,"Hyderabad, Pune, Bengaluru",,,https://www.naukri.com/job-listings-java-full-stack-developer-infosys-hyderabad-pune-bengaluru-9-to-14-years-090226028041,1 day ago,2026-06-11T22:58:29+00:00,"Preferred candidate profile . Collaborate with cross-functional teams to define, design...",Java
