source,title,company,location,job_type,salary,job_url,posted_date,scraped_at,description_snippet,search_keyword
naukri,Python Software Developer AWS,Capgemini,"Hybrid - Bengaluru, Mumbai (All Areas)",,15-30 Lacs PA,https://www.naukri.com/job-listings-python-software-developer-aws-capgemini-bengaluru-mumbai-all-areas-7-to-12-years-050925009110,1 week ago,2026-06-11T22:57:13+00:00,Participate in code reviews to ensure adherence to coding standards and best practices....,Python
naukri,Data Test Engineering Python Developer,Careernet,Hybrid - India,,,https://www.naukri.com/job-listings-data-test-engineering-python-developer-careernet-india-5-to-8-years-050626018288,6 days ago,2026-06-11T22:57:13+00:00,"Orchestrate batch workflows using schedulers such as AutoSys, Control-M, or Airflow, an...",Python
naukri,Position Fresh Graduate Trainee (Developer Java/React/Python),Corepeelers,Noida,,,https://www.naukri.com/job-listings-position-fresh-graduate-trainee-developer-java-react-python-corepeelers-noida-0-to-1-years-100626505634,1 day ago,2026-06-11T22:57:13+00:00,Collaborate with cross-functional teams to design and develop high-quality software ap...,Python
naukri,Java & Python Developer,Ericsson,"Hybrid - Noida, Chennai, Bengaluru",,,https://www.naukri.com/job-listings-java-python-developer-ericsson-noida-chennai-bengaluru-4-to-8-years-100626013315,1 day ago,2026-06-11T22:57:13+00:00,Required Skills & Experience5+ years of professional work experience with a deep under...,Python
naukri,Fullstack Python Developer,HCLTech,Noida,,5-15 Lacs PA,https://www.naukri.com/job-listings-fullstack-python-developer-hcltech-noida-6-to-9-years-020626010625,2 days ago,2026-06-11T22:57:13+00:00,Skill Requirements . Proficient in python programming language with a strong understand...,Python
naukri,Python Developer Lead,Hexaware Technologies,"Hybrid - Pune, Chennai, Bengaluru",,,https://www.naukri.com/job-listings-python-developer-lead-hexaware-technologies-pune-chennai-bengaluru-7-to-12-years-040825005683,1 day ago,2026-06-11T22:57:13+00:00,"The ideal candidate should have experience in building scalable web applications, stron...",Python
naukri,"Software Developer (Java,Python,Golang)",Infosys,Bengaluru,,,https://www.naukri.com/job-listings-software-developer-java-python-golang-infosys-bengaluru-5-to-8-years-280426925960,1 day ago,2026-06-11T22:57:13+00:00,Bachelor of Engineering Good communication skills Good understanding of the technology ...,Python
naukri,"Software Developer (Java,Python,Golang)",Infosys,Bengaluru,,,https://www.naukri.com/job-listings-software-developer-java-python-golang-infosys-limited-bengaluru-5-to-8-years-010626922347,1 day ago,2026-06-11T22:57:13+00:00,Bachelor of Engineering Good communication skills Good understanding of the technology ...,Python
naukri,Python Application Developer,Iris Software,"Hybrid - Noida, Pune, Delhi / NCR",,,https://www.naukri.com/job-listings-python-application-developer-iris-software-noida-pune-delhi-ncr-5-to-8-years-110626019085,1 day ago,2026-06-11T22:57:13+00:00,Job Description: Python Application DeveloperPosition OverviewWe are seeking Python App...,Python
naukri,Senior Python Developer,Iris Software,"Hybrid - Noida, Pune, Gurugram",,,https://www.naukri.com/job-listings-senior-python-developer-iris-software-noida-pune-gurugram-5-to-7-years-110626019040,1 day ago,2026-06-11T22:57:13+00:00,We are looking for an experienced Python Developer with 5-7 years of hands-on experienc...,Python
naukri,"NTT Data- Job Opening For Python developer with ML, MLOPS","NTT DATA, Inc.","Hybrid - Hyderabad, Bengaluru",,,https://www.naukri.com/job-listings-ntt-data-opening-for-python-developer-with-ml-mlops-ntt-data-inc-hyderabad-bengaluru-6-to-10-years-110626015953,1 day ago,2026-06-11T22:57:13+00:00,"Hands on experience with Apache Spark / PySpark for large scale data processing, featur...",Python
naukri,NTT Data- Job opening For Python developer with MLOPS,"NTT DATA, Inc.","Hybrid - Hyderabad, Bengaluru",,,https://www.naukri.com/job-listings-ntt-data-opening-for-python-developer-with-mlops-ntt-data-inc-hyderabad-bengaluru-6-to-10-years-100626015787,1 day ago,2026-06-11T22:57:13+00:00,Role & responsibilities Primary Skill Set (Core / MustHave)Strong proficiency in Pytho...,Python
naukri,Python Software Developer,Statusneo Technology Consulting,"Hybrid - Bangalore Rural, Gurugram, Bengaluru",,8-14 Lacs PA,https://www.naukri.com/job-listings-python-software-developer-statusneo-technology-consulting-bangalore-rural-gurugram-bengaluru-4-to-8-years-090626031893,2 days ago,2026-06-11T22:57:13+00:00,"Database Skills Advanced SQL programming, database design, and experience with relation...",Python
naukri,Python Software Developer,Synechron,"Hybrid - Hyderabad, Chennai, Bengaluru",,,https://www.naukri.com/job-listings-python-software-developer-synechron-hyderabad-chennai-bengaluru-5-to-8-years-110626011520,1 day ago,2026-06-11T22:57:13+00:00,"Required Skills: Python development, Sql and DjangoExperience Level: 5 years to 8 years.",Python
naukri,Python Software Developer,Tata Consultancy Services,"Pune, Bengaluru",,,https://www.naukri.com/job-listings-python-software-developer-tata-consultancy-services-pune-bengaluru-5-to-10-years-090626027780,1 day ago,2026-06-11T22:57:13+00:00,Role: Python for Data Science,Python
naukri,Python Software Developer,Tata Consultancy Services,Bengaluru,,,https://www.naukri.com/job-listings-python-software-developer-tata-consultancy-services-bengaluru-6-to-11-years-100626030281,1 day ago,2026-06-11T22:57:13+00:00,Role & responsibilities Python Developer Preferred candidate profile,Python
naukri,Walk-in || Python Software Developer,Tata Consultancy Services,Delhi / NCR,,,https://www.naukri.com/job-listings-python-software-developer-tata-consultancy-services-delhi-ncr-6-to-11-years-070626005268,4 days ago,2026-06-11T22:57:13+00:00,"Certifications*: Relevant certifications, such as Python Institutes PCEP or Microsofts ...",Python
naukri,Senior Information Security Engineer - Python Full Stack Developer,Wells Fargo,Bengaluru,,,https://www.naukri.com/job-listings-senior-information-security-engineer-python-full-stack-developer-wells-fargo-international-solutions-private-ltd-bengaluru-4-to-9-years-040626927235,1 week ago,2026-06-11T22:57:13+00:00,Provenexpertisein designing and governing enterprise grade CI / CD pipelines and must m...,Python
naukri,Python Software Developer,Wissen Technology,Hybrid - Mumbai (All Areas),,,https://www.naukri.com/job-listings-python-software-developer-wissen-technology-mumbai-all-areas-0-to-3-years-110626030207,1 day ago,2026-06-11T22:57:13+00:00,Required SkillsGood analytical and problem-solving skills,Python
naukri,Python Data Engineer,Xoriant,"Hybrid - Pune, Gurugram, Bengaluru",,15-30 Lacs PA,https://www.naukri.com/job-listings-python-data-engineer-xoriant-pune-gurugram-bengaluru-8-to-11-years-110626030650,1 day ago,2026-06-11T22:57:13+00:00,Senior Data Engineer with 8 to 10 years of relevant professional experienceExperienced ...,Python
